X,Y,Z,EDA,HR,TEMP,id,datetime,label
-45.0,-19.0,127.0,10.052768,89.07,35.23,5C,2020-04-14 22:50:20.468750080,1.0
23.0,42.0,45.0,2.394017,82.98,32.53,15,2020-07-31 20:09:58.843749888,2.0
-43.0,1.0,47.0,0.122978,74.48,29.29,5C,2020-06-24 15:01:53.218749952,2.0
-17.0,-2.0,61.0,0.453455,66.52,29.13,5C,2020-06-23 19:10:42.031249920,0.0
-64.0,1.0,3.0,0.217761,80.8,28.79,5C,2020-06-23 18:23:04.375000064,0.0
-25.0,7.0,60.0,0.427836,75.12,28.69,5C,2020-06-23 20:41:57.437499904,0.0
-64.0,-3.0,127.0,8.350147,123.43,35.0,5C,2020-04-14 22:53:09.718749952,1.0
-22.0,-44.0,127.0,22.564651,81.03,36.5,5C,2020-04-14 22:31:15.781250048,1.0
-55.0,-1.0,34.0,0.306146,101.32,28.57,5C,2020-06-23 20:45:20.249999872,0.0
-36.0,-32.0,42.0,0.431679,73.58,28.49,5C,2020-06-23 20:53:22.812499968,0.0
-62.0,-3.0,33.0,2.509186,75.07,33.15,15,2020-07-22 21:26:02.500000000,2.0
-61.0,13.0,127.0,9.846523,103.45,35.0,5C,2020-04-14 22:52:01.500000000,1.0
-35.0,-13.0,127.0,5.761772,110.27,36.25,5C,2020-04-14 22:57:16.906249984,1.0
-38.0,-3.0,51.0,9.631667,89.37,32.15,15,2020-07-24 13:16:53.281250048,2.0
-2.0,-23.0,59.0,0.169362,104.13,30.13,5C,2020-06-24 14:07:24.062500096,2.0
0.0,-12.0,67.0,0.251065,67.57,28.71,5C,2020-06-23 18:26:21.500000000,0.0
16.0,60.0,15.0,0.295898,89.15,28.87,5C,2020-06-23 20:02:11.843749888,0.0
-13.0,-62.0,2.0,0.143483,72.4,30.45,5C,2020-05-08 22:16:13.968750080,1.0
-20.0,3.0,61.0,0.196263,87.77,29.37,5C,2020-06-24 14:39:44.312499968,2.0
-34.0,-7.0,86.0,0.320236,92.75,28.93,5C,2020-06-23 19:22:33.781250048,0.0
-16.0,-50.0,-27.0,0.151428,112.28,30.05,5C,2020-06-24 14:13:44.156250112,2.0
-19.0,-4.0,60.0,0.418869,69.3,28.71,5C,2020-06-23 17:54:02.187500032,1.0
-65.0,-4.0,2.0,0.263875,75.75,28.63,5C,2020-06-23 18:31:46.875000064,0.0
2.0,56.0,31.0,0.262594,70.28,28.57,5C,2020-06-23 20:20:58.875000064,0.0
-62.0,1.0,-20.0,4.359626,98.63,34.37,15,2020-07-21 13:27:36.187500032,0.0
-65.0,1.0,-7.0,0.206232,71.72,28.95,5C,2020-06-23 19:54:26.687500032,0.0
-38.0,7.0,51.0,0.157566,57.37,28.83,5C,2020-06-24 15:09:25.593750016,2.0
-62.0,0.0,16.0,1.901192,82.97,34.23,15,2020-07-21 13:29:58.687500032,0.0
18.0,60.0,11.0,0.317674,73.85,29.25,5C,2020-06-23 18:04:05.187500032,1.0
22.0,-18.0,57.0,0.368957,87.72,30.77,5C,2020-05-08 22:23:38.750000128,1.0
-38.0,-2.0,-47.0,0.471797,83.17,32.79,15,2020-07-21 16:19:46.406249984,2.0
-17.0,7.0,60.0,0.316393,77.12,29.05,5C,2020-06-23 19:35:25.000000000,0.0
-42.0,6.0,46.0,0.605055,92.28,31.99,15,2020-07-21 16:37:21.187500032,2.0
-54.0,8.0,35.0,0.536716,119.78,28.73,5C,2020-06-23 20:52:31.656250112,0.0
-57.0,-13.0,127.0,6.152657,112.92,35.73,5C,2020-04-14 22:55:30.718749952,1.0
